Open;High;Low;Close;Adj Close;Volume
34399.91;34423.09;34399.8;34409.14;34409.14;46090240
34427.46;34427.46;34381.3;34423.35;34423.35;8159232
34439.12;34439.12;34344.13;34354.93;34354.93;18890752
34343.2;34343.2;34305.12;34318.47;34318.47;30343168
34280.61;34280.61;34171.82;34237.77;34237.77;142336000
34250.21;34283.38;34250.21;34283.38;34283.38;55584768
34214.1;34279.83;34214.1;34279.83;34279.83;56662016
34164.83;34187.69;34151.88;34163.63;34163.63;21735424
34191.22;34191.22;34116.24;34116.24;34116.24;2467840
34059.22;34072.18;34046.28;34059.93;34059.93;98547712
34066.61;34066.61;33983.0;33983.0;33983.0;83484672
33993.07;34074.53;33993.07;34074.53;34074.53;77090816
34106.85;34126.08;34092.11;34107.55;34107.55;50503680
34169.33;34169.33;34136.29;34167.77;34167.77;9969664
34177.05;34203.63;34177.05;34196.71;34196.71;20662272
34222.8;34268.42;34211.76;34268.42;34268.42;1009664
34261.93;34324.64;34261.93;34324.64;34324.64;19312640
34320.44;34320.44;34282.14;34295.21;34295.21;6828032
34252.8;34312.13;34239.7;34253.97;34253.97;11929600
34295.4;34304.36;34286.63;34291.36;34291.36;25706496
34332.83;34353.59;34292.82;34292.82;34292.82;14239744
33952.99;34073.98;33950.88;34073.98;34073.98;140208128
34100.92;34162.94;34099.09;34162.94;34162.94;35903488
34214.29;34214.29;34148.57;34151.66;34151.66;28424192
33939.94;33979.76;33929.63;33929.63;33929.63;46215168
33957.23;33957.23;33878.27;33917.5;33917.5;42053632
33771.33;33778.43;33771.33;33778.12;33778.12;39591936
33827.6;33867.34;33827.6;33867.34;33867.34;3598336
34029.79;34029.79;33982.25;34012.78;34012.78;19032064
33981.23;34041.12;33981.23;34038.56;34038.56;1843200
34070.12;34070.12;34038.56;34039.55;34039.55;3190784
34025.38;34043.33;34010.59;34013.68;34013.68;26939392
34002.13;34021.06;33978.2;33978.2;33978.2;40960
33966.25;33985.26;33954.82;33954.82;33954.82;2641920
33951.75;33954.02;33937.27;33937.27;33937.27;1925120
33926.48;33956.94;33926.48;33942.46;33942.46;21782528
33941.94;33983.57;33941.94;33983.57;33983.57;10102784
33986.93;34020.12;33986.43;34015.32;34015.32;5834752
34012.59;34039.63;34012.59;34039.63;34039.63;3457024
34045.91;34058.66;34041.89;34052.02;34052.02;7616512
34110.29;34117.04;34100.67;34102.57;34102.57;1056768
34184.67;34203.0;34184.67;34189.64;34189.64;2304000
34146.12;34176.95;34146.12;34176.95;34176.95;5767168
34190.55;34214.64;34190.55;34211.6;34211.6;3436544
34141.96;34156.61;34138.19;34138.19;34138.19;5404672
34162.98;34185.2;34162.98;34182.49;34182.49;1808384
34209.8;34209.8;34205.89;34205.89;34205.89;6701056
34210.39;34220.62;34199.1;34213.01;34213.01;114688
34196.06;34254.0;34196.06;34254.0;34254.0;4597760
34279.4;34279.4;34262.95;34269.49;34269.49;5726208
34153.37;34166.43;34153.37;34155.5;34155.5;4976640
34113.6;34113.6;34072.48;34072.48;34072.48;7481344
34076.95;34123.21;34076.95;34123.21;34123.21;612352
34125.32;34126.21;34090.23;34090.23;34090.23;7974912
33983.45;34013.3;33958.12;34013.3;34013.3;8009728
33974.0;33985.67;33956.38;33956.38;33956.38;1171456
33927.37;33927.37;33835.44;33835.44;33835.44;22906880
33797.13;33872.48;33797.13;33856.82;33856.82;56416256
33898.03;33927.16;33898.03;33924.41;33924.41;21725184
33916.88;33979.32;33916.88;33979.32;33979.32;17733632
33985.39;34038.09;33985.39;34036.59;34036.59;49387520
34047.47;34085.39;34036.38;34085.39;34085.39;18628608
34062.95;34088.8;34055.8;34080.76;34080.76;33974272
34082.54;34148.35;34082.54;34122.73;34122.73;35997696
34108.01;34130.11;34093.63;34130.11;34130.11;598016
34103.53;34120.0;34102.2;34120.0;34120.0;7174144
34077.37;34094.14;34062.12;34062.12;34062.12;6299648
34076.04;34108.07;34076.04;34107.55;34107.55;24047616
34138.55;34146.16;34129.26;34145.46;34145.46;5031936
34022.4;34057.0;34022.4;34057.0;34057.0;3397632
34060.63;34066.73;34051.66;34066.73;34066.73;8120320
34073.0;34165.71;34073.0;34165.71;34165.71;20518912
34151.68;34174.76;34143.09;34143.09;34143.09;22708224
33995.41;34026.04;33995.41;34018.45;34018.45;7147520
34147.55;34147.55;34135.24;34136.89;34136.89;14499840
34155.34;34166.56;34149.44;34149.44;34149.44;1263616
34206.66;34230.28;34206.66;34230.28;34230.28;1409024
34058.2;34062.3;34010.5;34010.5;34010.5;12873728
34038.58;34038.58;33990.59;33990.59;33990.59;24465408
33980.44;33990.34;33964.18;33964.39;33964.39;55365632
34143.45;34143.45;34101.1;34117.28;34117.28;9003008
34112.82;34130.1;34112.82;34120.68;34120.68;6821888
34118.77;34154.22;34118.77;34154.22;34154.22;9541632
34093.5;34098.43;34069.18;34076.32;34076.32;5043200
34055.64;34062.77;34040.89;34052.89;34052.89;6328320
34070.13;34079.34;34056.34;34056.34;34056.34;3283968
34024.74;34042.59;33996.18;33996.18;33996.18;3513344
34069.37;34076.95;34063.19;34076.95;34076.95;2184192
34030.82;34030.82;33986.21;33986.21;33986.21;3338240
33996.37;34009.94;33986.11;33986.11;33986.11;57613312
34016.16;34016.16;34002.5;34002.5;34002.5;13194240
34032.3;34112.84;34032.3;34112.84;34112.84;10961920
34148.55;34194.81;34147.81;34147.81;34147.81;58108928
34159.24;34162.58;34095.56;34095.56;34095.56;6753280
34187.95;34187.95;34153.46;34153.46;34153.46;25725952
34181.64;34181.64;34161.19;34164.7;34164.7;28460032
34136.3;34144.39;34116.38;34128.08;34128.08;10267648
34127.99;34151.14;34107.42;34151.14;34151.14;10861568
34136.11;34175.57;34136.11;34172.62;34172.62;26220544
34192.19;34192.19;34168.86;34188.68;34188.68;26024960
34186.53;34201.77;34182.05;34201.77;34201.77;13212672
34140.35;34177.71;34140.35;34164.05;34164.05;11086848
34079.48;34099.22;34052.78;34052.78;34052.78;24750080
34068.59;34068.59;34040.92;34042.7;34042.7;54336512
34059.63;34059.63;34004.88;34004.88;34004.88;42237952
34000.59;34000.59;33972.09;33989.75;33989.75;33052672
33988.48;34004.41;33962.87;33962.87;33962.87;67042304
33880.93;33947.87;33880.93;33947.87;33947.87;24574976
33919.32;33919.32;33888.61;33898.98;33898.98;22559744
33967.43;33992.64;33965.43;33972.18;33972.18;7099392
33849.66;33849.66;33517.15;33612.89;33612.89;157151232
33652.51;33699.88;33623.35;33699.88;33699.88;718720000
33642.49;33710.38;33642.49;33710.38;33710.38;138658816
33723.48;33723.48;33676.19;33688.29;33688.29;59270144
33722.83;33734.43;33722.83;33729.87;33729.87;40804352
33721.3;33721.3;33684.21;33700.12;33700.12;14135296
33692.31;33697.35;33664.9;33664.9;33664.9;17723392
33637.63;33692.35;33637.63;33677.21;33677.21;21268480
33666.54;33692.54;33666.54;33681.6;33681.6;11511808
33616.39;33643.07;33611.17;33618.97;33618.97;24381440
33675.56;33675.56;33619.53;33619.53;33619.53;11167744
33553.57;33600.81;33545.89;33600.81;33600.81;26238976
33574.24;33650.0;33574.24;33650.0;33650.0;67714048
33620.87;33650.12;33596.3;33596.3;33596.3;54693888
33597.11;33626.62;33597.11;33602.75;33602.75;918528
33619.29;33619.29;33597.01;33597.01;33597.01;13870080
33650.29;33657.53;33642.98;33657.53;33657.53;8667136
33654.4;33659.73;33645.82;33645.82;33645.82;39910400
33646.77;33650.23;33639.39;33639.39;33639.39;4106240
33626.99;33691.76;33626.99;33688.54;33688.54;38051840
33686.23;33706.61;33683.72;33706.61;33706.61;12235776
33701.12;33701.12;33682.78;33690.79;33690.79;820224
33750.04;33772.77;33750.04;33763.73;33763.73;20521984
33774.35;33783.69;33771.22;33782.52;33782.52;2421760
33841.66;33844.27;33809.03;33809.03;33809.03;45513728
33789.36;33801.44;33784.71;33791.34;33791.34;7062528
33829.92;33863.51;33829.92;33854.87;33854.87;17094656
33843.58;33843.58;33835.35;33837.38;33837.38;12461056
33825.21;33825.21;33790.92;33790.92;33790.92;3621888
33791.61;33851.84;33791.61;33851.84;33851.84;1029120
33864.68;33864.68;33843.77;33853.69;33853.69;11217920
33845.13;33845.13;33843.18;33843.18;33843.18;2227200
33842.54;33844.18;33841.43;33841.57;33841.57;4826112
33855.36;33855.36;33844.32;33848.16;33848.16;18795520
33843.02;33857.26;33843.02;33855.54;33855.54;13496320
33850.13;33856.91;33850.13;33856.19;33856.19;158720
33872.4;33921.12;33872.4;33919.05;33919.05;36011008
